,0
id,39717
member_id,39717
loan_amnt,39717
funded_amnt,39717
funded_amnt_inv,39717
term,39717
int_rate,39717
installment,39717
grade,39717
sub_grade,39717
emp_title,37258
emp_length,38642
home_ownership,39717
annual_inc,39717
verification_status,39717
issue_d,39717
loan_status,39717
pymnt_plan,39717
url,39717
desc,26777
purpose,39717
title,39706
zip_code,39717
addr_state,39717
dti,39717
delinq_2yrs,39717
earliest_cr_line,39717
inq_last_6mths,39717
mths_since_last_delinq,14035
mths_since_last_record,2786
open_acc,39717
pub_rec,39717
revol_bal,39717
revol_util,39667
total_acc,39717
initial_list_status,39717
out_prncp,39717
out_prncp_inv,39717
total_pymnt,39717
total_pymnt_inv,39717
total_rec_prncp,39717
total_rec_int,39717
total_rec_late_fee,39717
recoveries,39717
collection_recovery_fee,39717
last_pymnt_d,39646
last_pymnt_amnt,39717
next_pymnt_d,1140
last_credit_pull_d,39715
collections_12_mths_ex_med,39661
mths_since_last_major_derog,0
policy_code,39717
application_type,39717
annual_inc_joint,0
dti_joint,0
verification_status_joint,0
acc_now_delinq,39717
tot_coll_amt,0
tot_cur_bal,0
open_acc_6m,0
open_il_6m,0
open_il_12m,0
open_il_24m,0
mths_since_rcnt_il,0
total_bal_il,0
il_util,0
open_rv_12m,0
open_rv_24m,0
max_bal_bc,0
all_util,0
total_rev_hi_lim,0
inq_fi,0
total_cu_tl,0
inq_last_12m,0
acc_open_past_24mths,0
avg_cur_bal,0
bc_open_to_buy,0
bc_util,0
chargeoff_within_12_mths,39661
delinq_amnt,39717
mo_sin_old_il_acct,0
mo_sin_old_rev_tl_op,0
mo_sin_rcnt_rev_tl_op,0
mo_sin_rcnt_tl,0
mort_acc,0
mths_since_recent_bc,0
mths_since_recent_bc_dlq,0
mths_since_recent_inq,0
mths_since_recent_revol_delinq,0
num_accts_ever_120_pd,0
num_actv_bc_tl,0
num_actv_rev_tl,0
num_bc_sats,0
num_bc_tl,0
num_il_tl,0
num_op_rev_tl,0
num_rev_accts,0
num_rev_tl_bal_gt_0,0
num_sats,0
num_tl_120dpd_2m,0
num_tl_30dpd,0
num_tl_90g_dpd_24m,0
num_tl_op_past_12m,0
pct_tl_nvr_dlq,0
percent_bc_gt_75,0
pub_rec_bankruptcies,39020
tax_liens,39678
tot_hi_cred_lim,0
total_bal_ex_mort,0
total_bc_limit,0
total_il_high_credit_limit,0
